Sample,String,Zone,Site,Taxa,Binomial,Common name,MaxN,Biomass,TR,VUL-F,PD,VUL-C,IUCN,Has fed
PAL22_001,PAL22_1,PNMS North,N1,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,2.8,68,0.5625,-,LC,No
PAL22_002,PAL22_1,PNMS North,N1,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.52,15,0.51615,-,LC,No
PAL22_003,PAL22_1,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,4,142.67,4,20,0.0501,-,LC,No
PAL22_004,PAL22_1,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,6,280.2,4,20,0.0501,-,LC,No
PAL22_005,PAL22_1,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,5,207.73,4,20,0.0501,-,LC,No
PAL22_006,PAL22_2,PNMS North,N1,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,15,1282.21,4.5,39,1,-,LC,No
PAL22_006,PAL22_2,PNMS North,N1,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,3.52,15,0.51615,-,LC,No
PAL22_007,PAL22_2,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,13,769.98,4,20,0.0501,-,LC,No
PAL22_008,PAL22_2,PNMS North,N1,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,3,208.37,4.5,39,1,-,LC,No
PAL22_009,PAL22_2,PNMS North,N1,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,79,6889.06,4.5,39,1,-,LC,No
PAL22_010,PAL22_2,PNMS North,N1,Nomeidae,Psenes sp,Psenes driftfish,1,0.16,3.52,15,0.51615,-,LC,No
PAL22_011,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_012,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_013,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_014,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_015,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_016,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_017,PAL22_4,PNMS North,N3,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27,4.3,51,1,-,LC,No
PAL22_018,PAL22_4,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,2,765.37,3.5,41,0.625,-,LC,No
PAL22_019,PAL22_4,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,5,1763.55,3.5,41,0.625,-,LC,No
PAL22_020,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_021,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_022,PAL22_5,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,1,524.92,3.5,41,0.625,-,LC,Yes
PAL22_023,PAL22_5,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,26,6864.53,3.5,41,0.625,-,LC,No
PAL22_024,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_025,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_026,PAL22_6,PNMS North,N3,Carangidae,Decapterus sp,Decapterus scad,51,2955.09,4,20,0.0501,-,LC,No
PAL22_026,PAL22_6,PNMS North,N3,Coryphaenidae,Coryphaena hippurus,common dolphinfish,2,2038.83,4.4,40,1,-,LC,No
PAL22_027,PAL22_6,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,3,1068.19,3.5,41,0.625,-,LC,Yes
PAL22_028,PAL22_6,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,5,1141.23,3.5,41,0.625,-,LC,Yes
PAL22_028,PAL22_6,PNMS North,N3,Nomeidae,Psenes sp,Psenes driftfish,1,0.39,3.52,15,0.51615,-,LC,No
PAL22_029,PAL22_6,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,2,963.27,3.5,41,0.625,-,LC,Yes
PAL22_030,PAL22_6,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,1,542.82,3.5,41,0.625,-,LC,Yes
PAL22_030,PAL22_6,PNMS North,N3,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27,4.3,51,1,-,LC,No
PAL22_031,PAL22_7,PNMS North,N4,Balistidae,Canthidermis maculata,rought triggerfish,1,479.69,3.5,41,0.625,-,LC,Yes
PAL22_032,PAL22_7,PNMS North,N4,Balistidae,Canthidermis maculata,rought triggerfish,1,445.42,3.5,41,0.625,-,LC,Yes
PAL22_033,PAL22_7,PNMS North,N4,Balistidae,Canthidermis maculata,rought triggerfish,1,447.3,3.5,41,0.625,-,LC,No
PAL22_034,PAL22_7,PNMS North,N4,Balistidae,Canthidermis maculata,rought triggerfish,1,591.71,3.5,41,0.625,-,LC,Yes
PAL22_035,PAL22_7,PNMS North,N4,None,None,None,0,0,0,0,0,0,0,0
PAL22_036,PAL22_8,PNMS North,N4,None,None,None,0,0,0,0,0,0,0,0
PAL22_037,PAL22_8,PNMS North,N4,None,None,None,0,0,0,0,0,0,0,0
PAL22_038,PAL22_8,PNMS North,N4,None,None,None,0,0,0,0,0,0,0,0
PAL22_039,PAL22_8,PNMS North,N4,None,None,None,0,0,0,0,0,0,0,0
PAL22_040,PAL22_8,PNMS North,N4,None,None,None,0,0,0,0,0,0,0,0
PAL22_041,PAL22_9,DFZ West,W1,Balistidae,Balistidae sp,triggerfishes,1,41.05,3.38,32,0.625,-,-,No
PAL22_041,PAL22_9,DFZ West,W1,Nomeidae,Psenes sp,Psenes driftfish,1,1.58,3.52,15,0.51615,-,LC,No
PAL22_042,PAL22_9,DFZ West,W1,Monacanthidae,Aluterus sp,leatherjacket filefish,1,196.35,3.3,58,0.5625,-,LC,No
PAL22_043,PAL22_9,DFZ West,W1,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,209.59,3.8,48,0.5625,-,LC,No
PAL22_044,PAL22_9,DFZ West,W1,Nomeidae,Psenes sp,Psenes driftfish,1,0.73,3.52,15,0.51615,-,LC,No
PAL22_044,PAL22_9,DFZ West,W1,Priacanthidae,Priacanthus sp,bigeye,1,0.97,3.988333333,22.485,0.5002,-,LC,No
PAL22_045,PAL22_9,DFZ West,W1,None,None,None,0,0,0,0,0,0,0,0
PAL22_046,PAL22_10,DFZ West,W1,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,3.52,15,0.51615,-,LC,No
PAL22_047,PAL22_10,DFZ West,W1,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,3.5,41,0.625,-,LC,No
PAL22_047,PAL22_10,DFZ West,W1,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,2.8,68,0.5625,-,LC,No
PAL22_048,PAL22_10,DFZ West,W1,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,3.5,41,0.625,-,LC,No
PAL22_048,PAL22_10,DFZ West,W1,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,3.52,15,0.51615,-,LC,No
PAL22_049,PAL22_10,DFZ West,W1,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,3.5,41,0.625,-,LC,Yes
PAL22_050,PAL22_10,DFZ West,W1,None,None,None,0,0,0,0,0,0,0,0
PAL22_051,PAL22_11,DFZ West,W2,None,None,None,0,0,0,0,0,0,0,0
PAL22_052,PAL22_11,DFZ West,W2,None,None,None,0,0,0,0,0,0,0,0
PAL22_053,PAL22_11,DFZ West,W2,None,None,None,0,0,0,0,0,0,0,0
PAL22_054,PAL22_11,DFZ West,W2,Balistidae,Canthidermis maculata,rought triggerfish,1,280.51,3.5,41,0.625,-,LC,Yes
PAL22_055,PAL22_11,DFZ West,W2,Balistidae,Canthidermis maculata,rought triggerfish,2,561.03,3.5,41,0.625,-,LC,Yes
PAL22_056,PAL22_12,DFZ West,W2,Carangidae,Caranx sp,Caranx trevally,1,79.45,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_056,PAL22_12,DFZ West,W2,Carangidae,Decapterus sp,Decapterus scad,1,0.81,4,20,0.0501,-,LC,No
PAL22_056,PAL22_12,DFZ West,W2,Monacanthidae,Monacanthus sp,leatherjacket,1,3.56,3.78,49.14,0.618,-,-,No
PAL22_057,PAL22_12,DFZ West,W2,None,None,None,0,0,0,0,0,0,0,0
PAL22_058,PAL22_12,DFZ West,W2,Carangidae,Decapterus sp,Decapterus scad,3,2.44,4,20,0.0501,-,LC,No
PAL22_059,PAL22_12,DFZ West,W2,Balistidae,Canthidermis maculata,rought triggerfish,1,209.89,3.5,41,0.625,-,LC,Yes
PAL22_059,PAL22_12,DFZ West,W2,Carangidae,Decapterus sp,Decapterus scad,3,2.44,4,20,0.0501,-,LC,No
PAL22_059,PAL22_12,DFZ West,W2,Carcharhinidae,Galeocerdo cuvier,tiger shark,1,334934.31,4.5,64,1,-,NT,No
PAL22_059,PAL22_12,DFZ West,W2,Scombridae,Gymnosarda unicolor,dogtooth tuna,1,981.16,4.5,73,1,-,LC,Yes
PAL22_060,PAL22_12,DFZ West,W2,Carangidae,Decapterus sp,Decapterus scad,5,4.07,4,20,0.0501,-,LC,No
PAL22_060,PAL22_12,DFZ West,W2,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,3.52,15,0.51615,-,LC,No
PAL22_061,PAL22_13,DFZ West,W3,Carangidae,Decapterus sp,Decapterus scad,3,3.95,4,20,0.0501,-,LC,No
PAL22_062,PAL22_13,DFZ West,W3,Balistidae,Canthidermis maculata,rought triggerfish,3,815.56,3.5,41,0.625,-,LC,Yes
PAL22_063,PAL22_13,DFZ West,W3,Carangidae,Caranx sp,Caranx trevally,1,7.07,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_064,PAL22_13,DFZ West,W3,None,None,None,0,0,0,0,0,0,0,0
PAL22_065,PAL22_13,DFZ West,W3,Nomeidae,Psenes sp,Psenes driftfish,1,4.04,3.52,15,0.51615,-,LC,No
PAL22_066,PAL22_14,DFZ West,W4,Monacanthidae,Monacanthus sp,leatherjacket,1,3.56,3.78,49.14,0.618,-,-,No
PAL22_067,PAL22_14,DFZ West,W4,Nomeidae,Psenes sp,Psenes driftfish,2,0.64,3.52,15,0.51615,-,LC,No
PAL22_068,PAL22_14,DFZ West,W4,Carangidae,Decapterus sp,Decapterus scad,3,16.3,4,20,0.0501,-,LC,Yes
PAL22_068,PAL22_14,DFZ West,W4,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,382.8,2.8,68,0.5625,-,LC,No
PAL22_069,PAL22_14,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,1,321.28,3.5,41,0.625,-,LC,Yes
PAL22_070,PAL22_14,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,3,555.84,3.5,41,0.625,-,LC,Yes
PAL22_070,PAL22_14,DFZ West,W4,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,2,585.7,2.8,68,0.5625,-,LC,Yes
PAL22_070,PAL22_14,DFZ West,W4,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,3.52,15,0.51615,-,LC,No
PAL22_071,PAL22_15,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,1,204.14,3.5,41,0.625,-,LC,No
PAL22_072,PAL22_15,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,6,810.69,3.5,41,0.625,-,LC,Yes
PAL22_072,PAL22_15,DFZ West,W4,Carangidae,Decapterus sp,Decapterus scad,1,86.58,4,20,0.0501,-,LC,No
PAL22_072,PAL22_15,DFZ West,W4,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,2,62.57,3.8,48,0.5625,-,LC,No
PAL22_073,PAL22_15,DFZ West,W4,Carangidae,Carangidae sp,jacks,17,15.9,3.79,49.4,0.613,-,LC,No
PAL22_073,PAL22_15,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,8,1671.24,3.5,41,0.625,-,LC,Yes
PAL22_073,PAL22_15,DFZ West,W4,Carangidae,Decapterus sp,Decapterus scad,13,647.44,4,20,0.0501,-,LC,No
PAL22_073,PAL22_15,DFZ West,W4,Carangidae,Selar crumenophthalmus,bigeye scad,1,84.11,3.8,39,0.75,-,LC,No
PAL22_073,PAL22_15,DFZ West,W4,Carangidae,Seriola rivoliana,longfin yellowtail,1,53.16,4.5,76,0.502,-,LC,No
PAL22_073,PAL22_15,DFZ West,W4,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,31.28,3.8,48,0.5625,-,LC,No
PAL22_074,PAL22_15,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,2,696.73,3.5,41,0.625,-,LC,No
PAL22_074,PAL22_15,DFZ West,W4,Carangidae,Caranx sp,Caranx trevally,4,188.11,3.849100875,37.88363014,0.567620548,-,LC,Yes
PAL22_074,PAL22_15,DFZ West,W4,Carangidae,Decapterus sp,Decapterus scad,4,232.41,4,20,0.0501,-,LC,No
PAL22_074,PAL22_15,DFZ West,W4,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,2,639.94,2.8,68,0.5625,-,LC,No
PAL22_074,PAL22_15,DFZ West,W4,Nomeidae,Psenes cyanophrys,freckled driftfish ,37,2256.42,3.44,19,0.5313,-,LC,No
PAL22_075,PAL22_15,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,1,292.75,3.5,41,0.625,-,LC,No
PAL22_075,PAL22_15,DFZ West,W4,Carangidae,Decapterus sp,Decapterus scad,88,4252.67,4,20,0.0501,-,LC,Yes
PAL22_075,PAL22_15,DFZ West,W4,Carangidae,Selar crumenophthalmus,bigeye scad,7,588.79,3.8,39,0.75,-,LC,No
PAL22_075,PAL22_15,DFZ West,W4,Nomeidae,Psenes cyanophrys,freckled driftfish ,19,1128.41,3.44,19,0.5313,-,LC,No
PAL22_076,PAL22_16,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,4,723.42,3.5,41,0.625,-,LC,No
PAL22_076,PAL22_16,DFZ West,W4,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16176.32,4.5,79,0.5,-,VU,No
PAL22_076,PAL22_16,DFZ West,W4,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,319.97,2.8,68,0.5625,-,LC,No
PAL22_076,PAL22_16,DFZ West,W4,Scombridae,Thunnus sp,tuna,24,3337.9,4.255,61.33,0.504,-,VU,No
PAL22_077,PAL22_16,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,11,1482.18,3.5,41,0.625,-,LC,Yes
PAL22_077,PAL22_16,DFZ West,W4,Carangidae,Decapterus sp,Decapterus scad,16,1136.11,4,20,0.0501,-,LC,No
PAL22_077,PAL22_16,DFZ West,W4,Nomeidae,Psenes cyanophrys,freckled driftfish ,6,350.12,3.44,19,0.5313,-,LC,No
PAL22_078,PAL22_16,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,1,175.67,3.5,41,0.625,-,LC,Yes
PAL22_079,PAL22_16,DFZ West,W4,None,None,None,0,0,0,0,0,0,0,0
PAL22_080,PAL22_16,DFZ West,W4,Balistidae,Canthidermis maculata,rought triggerfish,1,579.7,3.5,41,0.625,-,LC,Yes
PAL22_081,PAL22_17,PNMS South,S2,Balistidae,Canthidermis maculata,rought triggerfish,1,465.23,3.5,41,0.625,-,LC,Yes
PAL22_082,PAL22_17,PNMS South,S2,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,1,102.29,4.5,39,1,-,LC,No
PAL22_082,PAL22_17,PNMS South,S2,Nomeidae,Psenes sp,Psenes driftfish,1,0.46,3.52,15,0.51615,-,LC,No
PAL22_083,PAL22_17,PNMS South,S2,Balistidae,Canthidermis maculata,rought triggerfish,2,597.02,3.5,41,0.625,-,LC,Yes
PAL22_084,PAL22_17,PNMS South,S2,Nomeidae,Psenes sp,Psenes driftfish,1,0.03,3.52,15,0.51615,-,LC,No
PAL22_085,PAL22_17,PNMS South,S2,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,3.52,15,0.51615,-,LC,No
PAL22_086,PAL22_18,PNMS South,S2,None,None,None,0,0,0,0,0,0,0,0
PAL22_087,PAL22_18,PNMS South,S2,None,None,None,0,0,0,0,0,0,0,0
PAL22_088,PAL22_18,PNMS South,S2,None,None,None,0,0,0,0,0,0,0,0
PAL22_089,PAL22_18,PNMS South,S2,Nomeidae,Psenes sp,Psenes driftfish,1,0.17,3.52,15,0.51615,-,LC,No
PAL22_090,PAL22_18,PNMS South,S2,None,None,None,0,0,0,0,0,0,0,0
PAL22_091,PAL22_19,PNMS South,S2,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,3.52,15,0.51615,-,LC,No
PAL22_092,PAL22_19,PNMS South,S2,Balistidae,Canthidermis maculata,rought triggerfish,1,164.26,3.5,41,0.625,-,LC,Yes
PAL22_093,PAL22_19,PNMS South,S2,Balistidae,Canthidermis maculata,rought triggerfish,2,183.84,3.5,41,0.625,-,LC,Yes
PAL22_093,PAL22_19,PNMS South,S2,Nomeidae,Psenes sp,Psenes driftfish,3,0.13,3.52,15,0.51615,-,LC,No
PAL22_094,PAL22_19,PNMS South,S2,None,None,None,0,0,0,0,0,0,0,0
PAL22_095,PAL22_19,PNMS South,S2,None,None,None,0,0,0,0,0,0,0,0
PAL22_096,PAL22_2,PNMS South,S3,Nomeidae,Psenes sp,Psenes driftfish,1,0.72,3.52,15,0.51615,-,LC,No
PAL22_097,PAL22_2,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_098,PAL22_2,PNMS South,S3,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,3.52,15,0.51615,-,LC,No
PAL22_099,PAL22_2,PNMS South,S3,Carangidae,Caranx sp,Caranx trevally,1,8.5,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_100,PAL22_2,PNMS South,S3,Istiophoridae,Makaira nigricans,blue marlin,1,36646.29,4.44,52,0.7505,-,VU,No
PAL22_101,PAL22_21,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_102,PAL22_21,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_103,PAL22_21,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_104,PAL22_21,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_105,PAL22_21,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_106,PAL22_22,PNMS South,S3,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,346.95,3.8,48,0.5625,-,LC,No
PAL22_107,PAL22_22,PNMS South,S3,None,None,None,0,0,0,0,0,0,0,0
PAL22_108,PAL22_22,PNMS South,S3,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,3.52,15,0.51615,-,LC,No
PAL22_109,PAL22_22,PNMS South,S3,Carangidae,Decapterus sp,Decapterus scad,8,17.81,4,20,0.0501,-,LC,No
PAL22_109,PAL22_22,PNMS South,S3,Carangidae,Selar crumenophthalmus,bigeye scad,2,5.93,3.8,39,0.75,-,LC,No
PAL22_109,PAL22_22,PNMS South,S3,Istiophoridae,Makaira nigricans,blue marlin,1,36646.29,4.44,52,0.7505,-,VU,No
PAL22_110,PAL22_22,PNMS South,S3,Carangidae,Caranx sp,Caranx trevally,2,9.95,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_111,PAL22_23,PNMS South,S4,Balistidae,Canthidermis maculata,rought triggerfish,2,533.31,3.5,41,0.625,-,LC,Yes
PAL22_111,PAL22_23,PNMS South,S4,Carangidae,Caranx sp,Caranx trevally,1,2.25,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_111,PAL22_23,PNMS South,S4,Carangidae,Decapterus sp,Decapterus scad,1,4.6,4,20,0.0501,-,LC,No
PAL22_112,PAL22_23,PNMS South,S4,None,None,None,0,0,0,0,0,0,0,0
PAL22_113,PAL22_23,PNMS South,S4,None,None,None,0,0,0,0,0,0,0,0
PAL22_114,PAL22_23,PNMS South,S4,Balistidae,Canthidermis maculata,rought triggerfish,1,266.66,3.5,41,0.625,-,LC,No
PAL22_115,PAL22_23,PNMS South,S4,None,None,None,0,0,0,0,0,0,0,0
PAL22_116,PAL22_24,PNMS South,S4,None,None,None,0,0,0,0,0,0,0,0
PAL22_117,PAL22_24,PNMS South,S4,Carangidae,Caranx sp,Caranx trevally,2,10.03,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_118,PAL22_24,PNMS South,S4,None,None,None,0,0,0,0,0,0,0,0
PAL22_119,PAL22_24,PNMS South,S4,Balistidae,Canthidermis maculata,rought triggerfish,1,183.06,3.5,41,0.625,-,LC,Yes
PAL22_119,PAL22_24,PNMS South,S4,Carangidae,Caranx sp,Caranx trevally,1,6.12,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_119,PAL22_24,PNMS South,S4,Carangidae,Decapterus sp,Decapterus scad,9,35.54,4,20,0.0501,-,LC,No
PAL22_120,PAL22_24,PNMS South,S4,Balistidae,Canthidermis maculata,rought triggerfish,1,183.06,3.5,41,0.625,-,LC,Yes
PAL22_120,PAL22_24,PNMS South,S4,Carangidae,Decapterus sp,Decapterus scad,1,3.95,4,20,0.0501,-,LC,No
PAL22_121,PAL22_25,PNMS South,S4,Carangidae,Caranx sp,Caranx trevally,1,4.33,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_121,PAL22_25,PNMS South,S4,Carangidae,Decapterus sp,Decapterus scad,5,11.78,4,20,0.0501,-,LC,No
PAL22_121,PAL22_25,PNMS South,S4,Coryphaenidae,Coryphaena hippurus,common dolphinfish,3,11674.06,4.4,40,1,-,LC,No
PAL22_121,PAL22_25,PNMS South,S4,Sphyraenidae,Sphyraena barracuda,great barracuda,1,2420.89,4.5,79,0.5,-,LC,No
PAL22_122,PAL22_25,PNMS South,S4,Coryphaenidae,Coryphaena hippurus,common dolphinfish,1,3955.85,4.4,40,1,-,LC,No
PAL22_123,PAL22_25,PNMS South,S4,Coryphaenidae,Coryphaena hippurus,common dolphinfish,2,8107.76,4.4,40,1,-,LC,No
PAL22_125,PAL22_25,PNMS South,S4,None,None,None,0,0,0,0,0,0,0,0
PAL22_126,PAL22_26,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,11,40.68,4,20,0.0501,-,LC,No
PAL22_127,PAL22_26,PNMS South,S1,Nomeidae,Psenes sp,Psenes driftfish,2,2.44,3.52,15,0.51615,-,LC,No
PAL22_128,PAL22_26,PNMS South,S1,Carangidae,Caranx sp,Caranx trevally,3,14.57,3.849100875,37.88363014,0.567620548,-,LC,Yes
PAL22_129,PAL22_26,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,1,3.01,4,20,0.0501,-,LC,No
PAL22_130,PAL22_26,PNMS South,S1,Carangidae,Caranx sp,Caranx trevally,1,5.54,3.849100875,37.88363014,0.567620548,-,LC,No
PAL22_130,PAL22_26,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,16,42.87,4,20,0.0501,-,LC,No
PAL22_130,PAL22_26,PNMS South,S1,Coryphaenidae,Coryphaena hippurus,common dolphinfish,4,16078.49,4.4,40,1,-,LC,No
PAL22_131,PAL22_27,PNMS South,S1,None,None,None,0,0,0,0,0,0,0,0
PAL22_132,PAL22_27,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,13,17.46,4,20,0.0501,-,LC,No
PAL22_133,PAL22_27,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,23,80.76,4,20,0.0501,-,LC,No
PAL22_133,PAL22_27,PNMS South,S1,Nomeidae,Psenes sp,Psenes driftfish,1,0.49,3.52,15,0.51615,-,LC,No
PAL22_134,PAL22_27,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,32,70.93,4,20,0.0501,-,LC,No
PAL22_135,PAL22_27,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,50,161.54,4,20,0.0501,-,LC,No
PAL22_136,PAL22_28,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,39,95.61,4,20,0.0501,-,LC,No
PAL22_137,PAL22_28,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,32,71.09,4,20,0.0501,-,LC,No
PAL22_137,PAL22_28,PNMS South,S1,Molidae,Masturus lanceolatus,sharptail mola,1,134051.6,3.8,70,1.0312,-,LC,No
PAL22_137,PAL22_28,PNMS South,S1,Nomeidae,Psenes sp,Psenes driftfish,1,0.09,3.52,15,0.51615,-,LC,No
PAL22_138,PAL22_28,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,37,65.08,4,20,0.0501,-,LC,No
PAL22_139,PAL22_28,PNMS South,S1,Carangidae,Decapterus sp,Decapterus scad,10,22.74,4,20,0.0501,-,LC,No
PAL22_140,PAL22_28,PNMS South,S1,None,None,None,0,0,0,0,0,0,0,0
