Sample ID,String,Year,Family,Binomial,Common name,MaxN,Biomass
PAL14_001,PAL14_01,2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,2359.122457
PAL14_001,PAL14_01,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,15514.02353
PAL14_002,PAL14_01,2014,Scombridae,Acanthocybium solandri,wahoo,2,1362.514948
PAL14_003,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,10.50959048
PAL14_003,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,9,36.67550347
PAL14_003,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,7.774980711
PAL14_003,PAL14_02,2014,Monacanthidae,Cantherhines fronticinctus,spectacled filefish ,1,2.182242762
PAL14_003,PAL14_02,2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,11,10.94677246
PAL14_003,PAL14_02,2014,Unknown,Unknown sp,unknown,11,15.88756278
PAL14_004,PAL14_02,2014,Carangidae,Carangidae sp,jacks,3,2.745384011
PAL14_004,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,22.01803665
PAL14_004,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,6,5.102261397
PAL14_004,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,4.068314244
PAL14_005,PAL14_02,2014,Nomeidae,Psenes sp,Psenes driftfish,3,9.516693097
PAL14_006,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,3.296249858
PAL14_006,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,10,44.52447867
PAL14_006,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.929297623
PAL14_006,PAL14_02,2014,Nomeidae,Psenes sp,Psenes driftfish,3,0.422180491
PAL14_007,PAL14_02,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_007,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,39.95819658
PAL14_007,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,15,635.2877781
PAL14_007,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.182672205
PAL14_008,PAL14_03,2014,Carangidae,Elagatis bipinnulata,rainbow runner,8,8909.472971
PAL14_008,PAL14_03,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,4,56459.67907
PAL14_008,PAL14_03,2014,Sphyrnidae,Sphyrna lewini,scalloped hammerhead,1,18194.41321
PAL14_010,PAL14_03,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16364.30876
PAL14_013,PAL14_04,2014,Balistidae,Balistidae sp,triggerfishes,1,0.126372861
PAL14_013,PAL14_04,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,43561.64701
PAL14_013,PAL14_04,2014,Scombridae,Acanthocybium solandri,wahoo,1,10147.92037
PAL14_013,PAL14_04,2014,Scombridae,Grammatorcynus sp,mackerel,1,1933.815701
PAL14_016,PAL14_04,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_021,PAL14_05,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,11.87729721
PAL14_021,PAL14_05,2014,Carangidae,Carangidae sp,jacks,3,2.745384011
PAL14_021,PAL14_05,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,21442.37436
PAL14_022,PAL14_05,2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,23.75459443
PAL14_022,PAL14_05,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_022,PAL14_05,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,61868.66693
PAL14_023,PAL14_05,2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,23.75459443
PAL14_023,PAL14_05,2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133
PAL14_024,PAL14_05,2014,Blenniidae,Aspidontus dussumieri,lance blenny,1,0.464326149
PAL14_024,PAL14_05,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.433410375
PAL14_025,PAL14_05,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.117013977
PAL14_026,PAL14_06,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,4.984448645
PAL14_026,PAL14_06,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,15125.10588
PAL14_026,PAL14_06,2014,Fistulariidae,Fistulariidae sp,cornetfishes,2,4.956152232
PAL14_026,PAL14_06,2014,Monacanthidae,Monacanthidae sp,leatherjackets,3,11.56567422
PAL14_026,PAL14_06,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.751248522
PAL14_027,PAL14_06,2014,Carangidae,Carangidae sp,jacks,5,4.575640018
PAL14_027,PAL14_06,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,3.374734562
PAL14_027,PAL14_06,2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,2,4.282786525
PAL14_027,PAL14_06,2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,4.529784499
PAL14_029,PAL14_06,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_029,PAL14_06,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,19.85437049
PAL14_029,PAL14_06,2014,Carangidae,Decapterus sp,Decapterus scad,2,464.1758344
PAL14_029,PAL14_06,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,19679.35706
PAL14_029,PAL14_06,2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,2.141393263
PAL14_029,PAL14_06,2014,Monacanthidae,Monacanthidae sp,leatherjackets,3,11.22917318
PAL14_030,PAL14_06,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.586093223
PAL14_030,PAL14_06,2014,Carangidae,Decapterus sp,Decapterus scad,2,375.2805338
PAL14_030,PAL14_06,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,17303.79615
PAL14_030,PAL14_06,2014,Fistulariidae,Fistularia sp,cornetfish,5,11.09192099
PAL14_030,PAL14_06,2014,Monacanthidae,Monacanthidae sp,leatherjackets,4,20.56744844
PAL14_031,PAL14_07,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,3.176579083
PAL14_031,PAL14_07,2014,Carangidae,Decapterus sp,Decapterus scad,10,9.595723093
PAL14_031,PAL14_07,2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,2299.540342
PAL14_031,PAL14_07,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,8,123118.8502
PAL14_031,PAL14_07,2014,Scombridae,Euthynnus affinis,kawakawa,1,576.4556466
PAL14_031,PAL14_07,2014,Scombridae,Thunnus alalunga,albacore ,30,20545.57064
PAL14_032,PAL14_07,2014,Carangidae,Carangidae sp,jacks,1,0.915128004
PAL14_032,PAL14_07,2014,Carangidae,Decapterus sp,Decapterus scad,63,8068.924464
PAL14_032,PAL14_07,2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,1260.903785
PAL14_032,PAL14_07,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,6,21465.46351
PAL14_032,PAL14_07,2014,Scombridae,Euthynnus affinis,kawakawa,1,3949.593112
PAL14_032,PAL14_07,2014,Scombridae,Thunnus alalunga,albacore ,11,7167.44088
PAL14_033,PAL14_07,2014,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,0.241979684
PAL14_033,PAL14_07,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_033,PAL14_07,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,3,9345.571832
PAL14_033,PAL14_07,2014,Scombridae,Thunnus alalunga,albacore ,37,10245.25896
PAL14_034,PAL14_07,2014,Carangidae,Carangidae sp,jacks,1,0.915128004
PAL14_034,PAL14_07,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,5,33749.2411
PAL14_035,PAL14_07,2014,Carangidae,Carangidae sp,jacks,3,2.745384011
PAL14_035,PAL14_07,2014,Carangidae,Decapterus macarellus,mackerel scad,11,98.34313104
PAL14_035,PAL14_07,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,10889.39918
PAL14_036,PAL14_08,2014,Carangidae,Carangidae sp,jacks,3,3.544012252
PAL14_036,PAL14_08,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,5,27.14752579
PAL14_037,PAL14_08,2014,Carangidae,Carangidae sp,jacks,3,6.866872086
PAL14_037,PAL14_08,2014,Echeneidae,Echeneis naucrates,live sharksucker,3,466.5100174
PAL14_038,PAL14_08,2014,Carangidae,Carangidae sp,jacks,3,8.748689767
PAL14_038,PAL14_08,2014,Carangidae,Caranx sp,Caranx trevally,1,4.011877372
PAL14_038,PAL14_08,2014,Carangidae,Decapterus sp,Decapterus scad,23,10.07667187
PAL14_039,PAL14_08,2014,Carangidae,Carangidae sp,jacks,2,3.134897047
PAL14_039,PAL14_08,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,29.26400071
PAL14_039,PAL14_08,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,30914.67704
PAL14_039,PAL14_08,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,0.234756755
PAL14_040,PAL14_08,2014,Carangidae,Caranx sp,Caranx trevally,1,5.063490405
PAL14_040,PAL14_08,2014,Nomeidae,Psenes sp,Psenes driftfish,7,23.57647546
PAL14_040,PAL14_08,2014,Scombridae,Sarda sp,bonito,17,21733.87363
PAL14_041,PAL14_09,2014,Coryphaenidae,Coryphaena hippurus,common dolphinfish,3,5289.223638
PAL14_042,PAL14_09,2014,Sphyraenidae,Sphyraena barracuda,great barracuda,1,1696.318659
PAL14_043,PAL14_09,2014,Carangidae,Carangidae sp,jacks,1,0.823383792
PAL14_043,PAL14_09,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,7018.075202
PAL14_043,PAL14_09,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.50061328
PAL14_044,PAL14_09,2014,Carangidae,Carangidae sp,jacks,32,34.15364843
PAL14_044,PAL14_09,2014,Carangidae,Caranx sp,Caranx trevally,1,2.165447777
PAL14_044,PAL14_09,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.913350404
PAL14_045,PAL14_09,2014,Nomeidae,Psenes sp,Psenes driftfish,1,5.43968129
PAL14_046,PAL14_10,2014,Carangidae,Carangidae sp,jacks,1,0.915128004
PAL14_046,PAL14_10,2014,Carangidae,Caranx sp,Caranx trevally,5,32.12878033
PAL14_046,PAL14_10,2014,Echeneidae,Echeneis naucrates,live sharksucker,1,693.1591816
PAL14_046,PAL14_10,2014,Nomeidae,Psenes sp,Psenes driftfish,1,1.559012948
PAL14_047,PAL14_10,2014,Balistidae,Pseudobalistes fuscus,yellow-spotted triggerfish,1,616.5545243
PAL14_047,PAL14_10,2014,Carangidae,Decapterus sp,Decapterus scad,182,361.6726807
PAL14_047,PAL14_10,2014,Echeneidae,Echeneis naucrates,live sharksucker,1,854.8023723
PAL14_047,PAL14_10,2014,Nomeidae,Psenes sp,Psenes driftfish,4,3.332122231
PAL14_048,PAL14_10,2014,Balistidae,Pseudobalistes fuscus,yellow-spotted triggerfish,4,4084.795404
PAL14_048,PAL14_10,2014,Carangidae,Caranx sp,Caranx trevally,4,74.09542534
PAL14_048,PAL14_10,2014,Carcharhinidae,Carcharhinus galapagensis,Galapagos shark ,1,125403.5453
PAL14_048,PAL14_10,2014,Echeneidae,Echeneis naucrates,live sharksucker,1,844.9234996
PAL14_049,PAL14_10,2014,Carangidae,Caranx sp,Caranx trevally,1,3.294474899
PAL14_049,PAL14_10,2014,Carangidae,Decapterus sp,Decapterus scad,88,64.76936361
PAL14_049,PAL14_10,2014,Echeneidae,Echeneis naucrates,live sharksucker,1,458.1733121
PAL14_050,PAL14_10,2014,Carangidae,Caranx sp,Caranx trevally,2,18.16696611
PAL14_050,PAL14_10,2014,Carangidae,Decapterus sp,Decapterus scad,145,121.1085006
PAL14_050,PAL14_10,2014,Echeneidae,Echeneis naucrates,live sharksucker,1,672.0920301
PAL14_051,PAL14_11,2014,Carangidae,Decapterus sp,Decapterus scad,36,96.06113364
PAL14_051,PAL14_11,2014,Nomeidae,Psenes sp,Psenes driftfish,2,9.909877568
PAL14_052,PAL14_11,2014,Carangidae,Decapterus sp,Decapterus scad,172,53.98374918
PAL14_052,PAL14_11,2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133
PAL14_053,PAL14_11,2014,Carangidae,Caranx sp,Caranx trevally,1,3.109128581
PAL14_053,PAL14_11,2014,Nomeidae,Psenes sp,Psenes driftfish,2,9.202552196
PAL14_054,PAL14_11,2014,Carangidae,Decapterus sp,Decapterus scad,23,19.02927253
PAL14_054,PAL14_11,2014,Scombridae,Acanthocybium solandri,wahoo,1,4400.870376
PAL14_056,PAL14_12,2014,Carangidae,Elagatis bipinnulata,rainbow runner,26,25752.59856
PAL14_056,PAL14_12,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,28917.49721
PAL14_056,PAL14_12,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,23098.21857
PAL14_056,PAL14_12,2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,1.346479987
PAL14_058,PAL14_12,2014,Carangidae,Elagatis bipinnulata,rainbow runner,1,4669.705487
PAL14_059,PAL14_12,2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,0.786199112
PAL14_060,PAL14_12,2014,Carangidae,Caranx sp,Caranx trevally,1,4.775253733
PAL14_060,PAL14_12,2014,Carcharhinidae,Carcharhinus sp,requiem shark,1,7957.904615
PAL14_060,PAL14_12,2014,Sphyraenidae,Sphyraena barracuda,great barracuda,1,2346.037007
PAL14_061,PAL14_13,2014,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.663392499
PAL14_061,PAL14_13,2014,Carangidae,Caranx sp,Caranx trevally,1,2.375979548
PAL14_061,PAL14_13,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,2,122033.1421
PAL14_061,PAL14_13,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.515416339
PAL14_061,PAL14_13,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.225239955
PAL14_061,PAL14_13,2014,Labridae,Labridae sp,wrasses,1,135.1959969
PAL14_063,PAL14_13,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,78703.80797
PAL14_064,PAL14_13,2014,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,1.065152878
PAL14_064,PAL14_13,2014,Carangidae,Decapterus macarellus,mackerel scad,1,238.6101346
PAL14_064,PAL14_13,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,28990.38232
PAL14_065,PAL14_13,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,7454.23223
PAL14_066,PAL14_14,2014,Fistulariidae,Fistularia sp,cornetfish,1,1.714196225
PAL14_067,PAL14_14,2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,1.347962118
PAL14_067,PAL14_14,2014,Priacanthidae,Priacanthus sp,bigeye,1,1.028614469
PAL14_068,PAL14_14,2014,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.356214968
PAL14_068,PAL14_14,2014,Juvenile,Juvenile sp,juvenile,3,0.855837661
PAL14_068,PAL14_14,2014,Nomeidae,Psenes sp,Psenes driftfish,1,1.071517644
PAL14_068,PAL14_14,2014,Priacanthidae,Priacanthus sp,bigeye,3,3.085843407
PAL14_070,PAL14_14,2014,Priacanthidae,Priacanthus sp,bigeye,1,1.028614469
PAL14_076,PAL14_16,2014,Carangidae,Decapterus sp,Decapterus scad,2,7.030469133
PAL14_077,PAL14_16,2014,Unknown,Unknown sp,unknown,1,1.444323889
PAL14_079,PAL14_16,2014,Nomeidae,Psenes sp,Psenes driftfish,2,0.834093972
PAL14_081,PAL14_17,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,16.44047699
PAL14_081,PAL14_17,2014,Carangidae,Decapterus macarellus,mackerel scad,4,12.45139457
PAL14_081,PAL14_17,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.601663717
PAL14_081,PAL14_17,2014,Unknown,Unknown sp,unknown,1,1.444323889
PAL14_082,PAL14_17,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,7.898303957
PAL14_082,PAL14_17,2014,Carangidae,Decapterus macarellus,mackerel scad,4,4.598401125
PAL14_083,PAL14_17,2014,Carangidae,Caranx sp,Caranx trevally,1,1.474269992
PAL14_083,PAL14_17,2014,Carangidae,Decapterus macarellus,mackerel scad,3,13.36684381
PAL14_084,PAL14_17,2014,Carangidae,Carangidae sp,jacks,1,0.915128004
PAL14_084,PAL14_17,2014,Carangidae,Caranx sp,Caranx trevally,2,3.61481695
PAL14_084,PAL14_17,2014,Carangidae,Decapterus macarellus,mackerel scad,1,0.563911083
PAL14_084,PAL14_17,2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133
PAL14_085,PAL14_17,2014,Carangidae,Carangidae sp,jacks,1,0.915128004
PAL14_085,PAL14_17,2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133
PAL14_085,PAL14_17,2014,Unknown,Unknown sp,unknown,1,1.444323889
PAL14_086,PAL14_18,2014,Blenniidae,Blenniidae sp,blennies,1,7.575372108
PAL14_086,PAL14_18,2014,Fistulariidae,Fistularia sp,cornetfish,1,1.754491907
PAL14_087,PAL14_18,2014,Carangidae,Decapterus macarellus,mackerel scad,1,8.94028464
PAL14_088,PAL14_18,2014,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.433435145
PAL14_088,PAL14_18,2014,Carangidae,Caranx sp,Caranx trevally,1,3.262355321
PAL14_088,PAL14_18,2014,Fistulariidae,Fistularia sp,cornetfish,1,2.629680443
PAL14_089,PAL14_18,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,1.746269049
PAL14_089,PAL14_18,2014,Fistulariidae,Fistularia sp,cornetfish,4,3.952692016
PAL14_090,PAL14_18,2014,Fistulariidae,Fistularia sp,cornetfish,1,1.640469565
PAL14_091,PAL14_19,2014,Carangidae,Caranx sp,Caranx trevally,2,6.058489028
PAL14_091,PAL14_19,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.614614647
PAL14_091,PAL14_19,2014,Sphyraenidae,Sphyraena barracuda,great barracuda,1,8914.661883
PAL14_093,PAL14_19,2014,Carangidae,Decapterus macarellus,mackerel scad,1,55.88453086
PAL14_096,PAL14_20,2014,Carangidae,Carangidae sp,jacks,2,3.830891432
PAL14_096,PAL14_20,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,2.484295478
PAL14_097,PAL14_20,2014,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.394110531
PAL14_097,PAL14_20,2014,Carangidae,Caranx sp,Caranx trevally,2,2.527637038
PAL14_097,PAL14_20,2014,Juvenile,Juvenile sp,juvenile,1,0.358913469
PAL14_097,PAL14_20,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.159200702
PAL14_098,PAL14_20,2014,Blenniidae,Blenniidae sp,blennies,1,7.575372108
PAL14_098,PAL14_20,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.620911548
PAL14_099,PAL14_20,2014,Carangidae,Caranx sp,Caranx trevally,2,6.240029187
PAL14_100,PAL14_20,2014,Carangidae,Decapterus sp,Decapterus scad,1,313.2905916
PAL14_100,PAL14_20,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,10297.28151
PAL14_100,PAL14_20,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16982.87443
PAL14_100,PAL14_20,2014,Echeneidae,Echeneis naucrates,live sharksucker,1,8.182727515
PAL14_100,PAL14_20,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,2.446254487
PAL14_100,PAL14_20,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.952200245
PAL14_101,PAL14_21,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,32326.57499
PAL14_105,PAL14_21,2014,Scombridae,Acanthocybium solandri,wahoo,1,4222.984939
PAL14_106,PAL14_22,2014,Apogonidae,Pristiapogon exostigma,narrowstripe cardinalfish,1,0.816681585
PAL14_106,PAL14_22,2014,Carangidae,Decapterus sp,Decapterus scad,10,76.64077642
PAL14_106,PAL14_22,2014,Nomeidae,Psenes sp,Psenes driftfish,1,1.857926372
PAL14_106,PAL14_22,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.078630626
PAL14_108,PAL14_22,2014,Carangidae,Caranx sp,Caranx trevally,2,5.233059659
PAL14_108,PAL14_22,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16364.30876
PAL14_109,PAL14_22,2014,Carangidae,Carangidae sp,jacks,1,0.328697842
PAL14_111,PAL14_23,2014,Unknown,Unknown sp,unknown,1,1.444323889
PAL14_112,PAL14_23,2014,Carcharhinidae,Carcharhinus limbatus,blacktip shark,1,10190.49863
PAL14_113,PAL14_23,2014,Carangidae,Elagatis bipinnulata,rainbow runner,4,1400.803794
PAL14_113,PAL14_23,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,2027.496043
PAL14_113,PAL14_23,2014,Carcharhinidae,Carcharhinus sp,requiem shark,1,1977.160566
PAL14_113,PAL14_23,2014,Scombridae,Acanthocybium solandri,wahoo,1,1004.483632
PAL14_114,PAL14_23,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_115,PAL14_23,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.345448203
PAL14_115,PAL14_23,2014,Scombridae,Acanthocybium solandri,wahoo,1,12359.26281
PAL14_116,PAL14_24,2014,Carangidae,Caranx sp,Caranx trevally,3,9.696814156
PAL14_116,PAL14_24,2014,Carangidae,Decapterus sp,Decapterus scad,28,164.2453521
PAL14_116,PAL14_24,2014,Nomeidae,Psenes sp,Psenes driftfish,8,3.390480979
PAL14_117,PAL14_24,2014,Carangidae,Caranx sp,Caranx trevally,1,1.155118081
PAL14_117,PAL14_24,2014,Nomeidae,Psenes sp,Psenes driftfish,6,1.149547538
PAL14_118,PAL14_24,2014,Carangidae,Caranx sp,Caranx trevally,2,5.422034708
PAL14_118,PAL14_24,2014,Carangidae,Decapterus macarellus,mackerel scad,2,30.1078478
PAL14_118,PAL14_24,2014,Nomeidae,Psenes sp,Psenes driftfish,4,2.6939887
PAL14_119,PAL14_24,2014,Carangidae,Caranx sp,Caranx trevally,2,2.434284713
PAL14_119,PAL14_24,2014,Nomeidae,Psenes sp,Psenes driftfish,5,2.037780065
PAL14_119,PAL14_24,2014,Scombridae,Acanthocybium solandri,wahoo,1,18597.02363
PAL14_120,PAL14_24,2014,Carangidae,Caranx sp,Caranx trevally,1,3.387931559
PAL14_120,PAL14_24,2014,Nomeidae,Psenes sp,Psenes driftfish,3,1.395433433
PAL14_120,PAL14_24,2014,Scombridae,Scombridae sp,mackerels,1,1243.915159
PAL14_121,PAL14_25,2014,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,0.221665184
PAL14_121,PAL14_25,2014,Carangidae,Caranx sp,Caranx trevally,1,3.263827534
PAL14_121,PAL14_25,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,5.869544351
PAL14_122,PAL14_25,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.763654382
PAL14_122,PAL14_25,2014,Carangidae,Decapterus macarellus,mackerel scad,29,233.7534209
PAL14_123,PAL14_25,2014,Carangidae,Caranx sp,Caranx trevally,1,2.722922834
PAL14_123,PAL14_25,2014,Carangidae,Decapterus macarellus,mackerel scad,34,434.3707465
PAL14_123,PAL14_25,2014,Molidae,Mola mola,ocean sunfish,1,381333.8059
PAL14_123,PAL14_25,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,6.65062412
PAL14_123,PAL14_25,2014,Nomeidae,Psenes sp,Psenes driftfish,2,2.705060288
PAL14_124,PAL14_25,2014,Carangidae,Caranx sp,Caranx trevally,1,1.806037703
PAL14_124,PAL14_25,2014,Carangidae,Decapterus macarellus,mackerel scad,32,142.2453749
PAL14_124,PAL14_25,2014,Nomeidae,Psenes sp,Psenes driftfish,2,2.30677853
PAL14_125,PAL14_25,2014,Carangidae,Caranx sp,Caranx trevally,1,1.656223403
PAL14_125,PAL14_25,2014,Carangidae,Decapterus macarellus,mackerel scad,23,346.1970106
PAL14_125,PAL14_25,2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16070.22204
PAL14_125,PAL14_25,2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.460777589
PAL14_126,PAL14_26,2014,Carangidae,Decapterus macarellus,mackerel scad,37,427.0308696
