ID,LATITUDE,LONGITUDE,Type,Site,Zone
PAL22_N1_1_S,8.63178,134.64127,Surface,N1_1,North
PAL22_N1_2_S,8.60835,134.67621,Surface,N1_2,North
PAL22_N1_3_S,8.67279,134.63313,Surface,N1_3,North
PAL22_N3_1_S,9.10719,134.95911,Surface,N3_1,North
PAL22_N3_2_S,9.14262,134.95244,Surface,N3_2,North
PAL22_N3_3_S,9.12189,134.91685,Surface,N3_3,North
PAL22_N4_1_S,9.23507,134.52248,Surface,N4_1,North
PAL22_N4_2_S,9.25537,134.50046,Surface,N4_2,North
PAL22_W1_1_S,7.55131,133.78006,Surface,W1.1,West
PAL22_W1_2_S,7.57974,133.79086,Surface,W1.2,West
PAL22_WA_1_S,8.20012,134.13246,Surface,WA.1,West
PAL22_WA_2_S,8.19669,134.17094,Surface,WA.2,West
PAL_W3_1_S,7.68961,133.15118,Surface,W3.1,West
PAL22_W4_1_S,7.10142,133.47751,Surface,W4.1,West
PAL22_W4_2_S,7.12597,133.47096,Surface,W4.2,West
PAL22_W4_3_S,7.18283,133.48685,Surface,W4.3,West
PAL22_S2_1_S,6.80236,133.27798,Surface,S2.1,South
PAL22_S2_2_S,6.8489,133.26102,Surface,S2.2,South
PAL22_S2_3_S,6.88921,133.29517,Surface,S2.3,South
PAL22_S3_1_S,6.28704,133.51562,Surface,S3.1,South
PAL22_S3_2_S,6.26042,133.49364,Surface,S3.2,South
PAL22_S3_3_S,6.30044,133.47595,Surface,S3.3,South
PAL22_S4_1_S,6.05854,134.17393,Surface,S4.1,South
PAL22_S4_2_S,6.02596,134.16141,Surface,S4.2,South
PAL22_S4_3_S,6.02504,134.13046,Surface,S4.3,South
PAL22_S1_1_S,6.48398,133.80315,Surface,S1.1,South
PAL22_S1_2_S,6.47086,133.75189,Surface,S1.2,South
PAL22_S1_3_S,6.47882,133.71042,Surface,S1.3,South