String,Site,Zone,StringTotalMaxN,StringTotalBiomass,StringSpeciesRichness,StringFamilyRichness
PAL22_1,N1,PNMS North,8,0.4639,3,3
PAL22_10,W1,DFZ West,9,1.4351,4,4
PAL22_11,W2,DFZ West,2,0.56103,2,2
PAL22_12,W2,DFZ West,10,1.27825,7,6
PAL22_13,W3,DFZ West,8,0.83062,5,4
PAL22_14,W4,DFZ West,11,1.16204,5,4
PAL22_15,W4,DFZ West,166,9.7288,9,4
PAL22_16,W4,DFZ West,59,22.8026,7,7
PAL22_17,S2,PNMS South,4,0.69977,3,3
PAL22_18,S2,PNMS South,1,0.00017,2,2
PAL22_19,S2,PNMS South,5,0.18397,3,3
PAL22_2,N1,PNMS North,93,7.6592,3,3
PAL22_20,S3,PNMS South,3,36.65551,4,4
PAL22_21,S3,PNMS South,0,0,1,1
PAL22_22,S3,PNMS South,15,37.02705,7,5
PAL22_23,S4,PNMS South,4,0.54016,4,3
PAL22_24,S4,PNMS South,12,0.22863,4,3
PAL22_25,S4,PNMS South,10,14.11106,5,4
PAL22_26,S1,PNMS South,25,16.13837,4,3
PAL22_27,S1,PNMS South,51,0.16203,3,3
PAL22_28,S1,PNMS South,40,0.0957,3,3
PAL22_3,N1,PNMS North,0,0,1,1
PAL22_4,N3,PNMS North,6,1.90582,3,3
PAL22_5,N3,PNMS North,26,6.86453,2,2
PAL22_6,N3,PNMS North,60,6.27781,5,4
PAL22_7,N4,PNMS North,1,0.59171,2,2
PAL22_8,N4,PNMS North,0,0,1,1
PAL22_9,W1,DFZ West,5,0.44954,6,5