"String","Site","Zone","Functional_Group","FG_MaxN","FG_Biomass_kg","FG_SpeciesRichness","FG_MeanTR","StringTotalMaxN","StringTotalBiomass_kg","FG_PercentMaxN","FG_PercentBiomass"
"PAL22_1","N1","PNMS North","Oceanic Omnivore",1,0.18334,1,2.8,8,0.8143,12.5,22.5150435957264
"PAL22_1","N1","PNMS North","Zooplanktivore",7,0.63096,2,3.92857142857143,8,0.8143,87.5,77.4849564042736
"PAL22_10","W1","DFZ West","Oceanic Omnivore",8,2.41058,2,3.4125,9,2.41188,88.8888888888889,99.946100137652
"PAL22_10","W1","DFZ West","Zooplanktivore",1,0.0013,1,3.5,9,2.41188,11.1111111111111,0.0538998623480438
"PAL22_11","W2","DFZ West","Oceanic Omnivore",2,0.84154,1,3.5,2,0.84154,100,100
"PAL22_12","W2","DFZ West","Apex Pelagic Predator",1,0.98116,1,4.5,10,1.28394,10,76.4179011480287
"PAL22_12","W2","DFZ West","Oceanic Omnivore",2,0.21345,2,3.65,10,1.28394,20,16.6246086265713
"PAL22_12","W2","DFZ West","Pelagic Macropredator",1,0.07945,1,3.8,10,1.28394,10,6.18798386217425
"PAL22_12","W2","DFZ West","Zooplanktivore",6,0.00988,2,3.91666666666667,10,1.28394,60,0.769506363225696
"PAL22_13","W3","DFZ West","Oceanic Omnivore",3,0.81556,1,3.5,8,0.83062,37.5,98.1868965351183
"PAL22_13","W3","DFZ West","Pelagic Macropredator",1,0.00707,1,3.8,8,0.83062,12.5,0.851171414124389
"PAL22_13","W3","DFZ West","Zooplanktivore",4,0.00799,2,3.875,8,0.83062,50,0.961932050757266
"PAL22_14","W4","DFZ West","Oceanic Omnivore",6,1.84918,3,3.31666666666667,11,1.86616,54.5454545454545,99.0901101727612
"PAL22_14","W4","DFZ West","Zooplanktivore",5,0.01698,2,3.8,11,1.86616,45.4545454545455,0.909889827238822
"PAL22_15","W4","DFZ West","Mixed Group",17,0.0159,1,3.8,166,13.94334,10.2409638554217,0.114032936154465
"PAL22_15","W4","DFZ West","Oceanic Omnivore",12,4.40934,3,3.43333333333333,166,13.94334,7.2289156626506,31.623269603983
"PAL22_15","W4","DFZ West","Pelagic Macropredator",5,0.24127,2,3.94,166,13.94334,3.01204819277108,1.7303601576093
"PAL22_15","W4","DFZ West","Zooplanktivore",132,9.27683,3,3.82121212121212,166,13.94334,79.5180722891566,66.5323373022533
"PAL22_16","W4","DFZ West","Apex Pelagic Predator",25,19.51422,2,4.308,59,24.28139,42.3728813559322,80.3669806382584
"PAL22_16","W4","DFZ West","Oceanic Omnivore",12,3.28094,2,3.44166666666667,59,24.28139,20.3389830508475,13.5121589002936
"PAL22_16","W4","DFZ West","Zooplanktivore",22,1.48623,2,3.83636363636364,59,24.28139,37.2881355932203,6.12086046144805
"PAL22_17","S2","PNMS South","Oceanic Omnivore",2,1.06225,1,3.5,4,1.16515,50,91.1685190747972
"PAL22_17","S2","PNMS South","Pelagic Macropredator",1,0.10229,1,4.5,4,1.16515,25,8.7791271510106
"PAL22_17","S2","PNMS South","Zooplanktivore",1,0.00061,1,3.5,4,1.16515,25,0.0523537741921641
"PAL22_18","S2","PNMS South","Zooplanktivore",1,0.00017,1,3.5,1,0.00017,100,100
"PAL22_19","S2","PNMS South","Oceanic Omnivore",2,0.3481,1,3.5,5,0.34827,40,99.9511872972119
"PAL22_19","S2","PNMS South","Zooplanktivore",3,0.00017,1,3.5,5,0.34827,60,0.0488127027880667
"PAL22_2","N1","PNMS North","Pelagic Macropredator",79,8.37964,1,4.5,93,9.14982,84.9462365591398,91.5825666515844
"PAL22_2","N1","PNMS North","Zooplanktivore",14,0.77018,2,3.96428571428571,93,9.14982,15.0537634408602,8.4174333484156
"PAL22_20","S3","PNMS South","Apex Pelagic Predator",1,36.64629,1,4.5,3,36.65563,33.3333333333333,99.9745196031278
"PAL22_20","S3","PNMS South","Pelagic Macropredator",1,0.0085,1,3.8,3,36.65563,33.3333333333333,0.0231887980100192
"PAL22_20","S3","PNMS South","Zooplanktivore",1,0.00084,1,3.5,3,36.65563,33.3333333333333,0.0022915988621666
"PAL22_22","S3","PNMS South","Apex Pelagic Predator",1,36.64629,1,4.5,15,37.02705,6.66666666666667,98.9716707110072
"PAL22_22","S3","PNMS South","Oceanic Omnivore",1,0.34695,1,3.8,15,37.02705,6.66666666666667,0.937017666813856
"PAL22_22","S3","PNMS South","Pelagic Macropredator",2,0.00995,1,3.8,15,37.02705,13.3333333333333,0.0268722461011612
"PAL22_22","S3","PNMS South","Zooplanktivore",11,0.02386,3,3.91818181818182,15,37.02705,73.3333333333333,0.0644393760777594
"PAL22_23","S4","PNMS South","Oceanic Omnivore",2,0.79997,1,3.5,4,0.80682,50,99.1509878287598
"PAL22_23","S4","PNMS South","Pelagic Macropredator",1,0.00225,1,3.8,4,0.80682,25,0.278872610991299
"PAL22_23","S4","PNMS South","Zooplanktivore",1,0.0046,1,4,4,0.80682,25,0.570139560248878
"PAL22_24","S4","PNMS South","Oceanic Omnivore",1,0.36612,1,3.5,12,0.42176,8.33333333333333,86.8076631259484
"PAL22_24","S4","PNMS South","Pelagic Macropredator",2,0.01615,1,3.8,12,0.42176,16.6666666666667,3.82919195751138
"PAL22_24","S4","PNMS South","Zooplanktivore",9,0.03949,1,4,12,0.42176,75,9.36314491654021
"PAL22_25","S4","PNMS South","Apex Pelagic Predator",1,2.42089,1,4.5,10,26.17467,10,9.24898002534511
"PAL22_25","S4","PNMS South","Pelagic Macropredator",4,23.742,2,4.25,10,26.17467,40,90.7060146317031
"PAL22_25","S4","PNMS South","Zooplanktivore",5,0.01178,1,4,10,26.17467,50,0.0450053429517927
"PAL22_26","S1","PNMS South","Pelagic Macropredator",7,16.0986,2,4.14285714285714,25,16.1876,28,99.4501964466629
"PAL22_26","S1","PNMS South","Zooplanktivore",18,0.089,2,3.94444444444444,25,16.1876,72,0.549803553337122
"PAL22_27","S1","PNMS South","Zooplanktivore",51,0.33118,2,3.99019607843137,51,0.33118,100,100
"PAL22_28","S1","PNMS South","Zooplanktivore",40,0.25461,2,3.9875,40,0.25461,100,100
"PAL22_4","N3","PNMS North","Oceanic Omnivore",5,2.52892,1,3.5,6,2.67119,83.3333333333333,94.6739093812121
"PAL22_4","N3","PNMS North","Pelagic Macropredator",1,0.14227,1,4.3,6,2.67119,16.6666666666667,5.32609061878788
"PAL22_5","N3","PNMS North","Oceanic Omnivore",26,7.38945,1,3.5,26,7.38945,100,100
"PAL22_6","N3","PNMS North","Oceanic Omnivore",5,3.71551,1,3.5,60,8.85209,8.33333333333333,41.9732515146141
"PAL22_6","N3","PNMS North","Pelagic Macropredator",3,2.1811,2,4.36666666666667,60,8.85209,5,24.6393789489262
"PAL22_6","N3","PNMS North","Zooplanktivore",52,2.95548,2,3.99038461538462,60,8.85209,86.6666666666667,33.3873695364598
"PAL22_7","N4","PNMS North","Oceanic Omnivore",1,1.96412,1,3.5,1,1.96412,100,100
"PAL22_9","W1","DFZ West","Oceanic Omnivore",3,0.44699,3,3.5,5,0.45027,60,99.2715481822018
"PAL22_9","W1","DFZ West","Zooplanktivore",2,0.00328,2,3.75,5,0.45027,40,0.72845181779821
